port_name,year,predicted_value,rank
Madawaska,2026,172608,55.0
Madawaska,2027,91015,61.0
Madawaska,2028,9422,91.0
Madawaska,2029,-72170,113.0
Madawaska,2030,-153763,112.0
Madawaska,2031,-235356,113.0
Madawaska,2032,-316949,112.0
Madawaska,2033,-398543,113.0
Madawaska,2034,-480136,112.0
Madawaska,2035,-561729,112.0
Maida,2026,3329,106.0
Maida,2027,1294,105.0
Maida,2028,-741,105.0
Maida,2029,-2776,101.0
Maida,2030,-4811,100.0
Maida,2031,-6847,101.0
Maida,2032,-8882,98.0
Maida,2033,-10917,97.0
Maida,2034,-12952,98.0
Maida,2035,-14988,98.0
Massena,2026,1316611,29.0
Massena,2027,1218587,31.0
Massena,2028,1120563,33.0
Massena,2029,1022539,33.0
Massena,2030,924515,34.0
Massena,2031,826491,34.0
Massena,2032,728467,34.0
Massena,2033,630443,36.0
Massena,2034,532420,36.0
Massena,2035,434396,38.0
Metaline Falls,2026,54062,75.0
Metaline Falls,2027,51686,72.0
Metaline Falls,2028,49310,70.0
Metaline Falls,2029,46934,69.0
Metaline Falls,2030,44557,69.0
Metaline Falls,2031,42181,67.0
Metaline Falls,2032,39805,65.0
Metaline Falls,2033,37429,65.0
Metaline Falls,2034,35052,64.0
Metaline Falls,2035,32676,62.0
Morgan,2026,10180,96.0
Morgan,2027,9644,93.0
Morgan,2028,9109,93.0
Morgan,2029,8573,89.0
Morgan,2030,8038,88.0
Morgan,2031,7502,88.0
Morgan,2032,6967,86.0
Morgan,2033,6432,83.0
Morgan,2034,5896,83.0
Morgan,2035,5361,83.0
Naco,2026,685942,39.0
Naco,2027,658895,39.0
Naco,2028,631849,39.0
Naco,2029,604803,39.0
Naco,2030,577756,39.0
Naco,2031,550710,39.0
Naco,2032,523664,38.0
Naco,2033,496617,38.0
Naco,2034,469571,38.0
Naco,2035,442525,37.0
Neche,2026,55694,74.0
Neche,2027,50909,73.0
Neche,2028,46123,71.0
Neche,2029,41338,71.0
Neche,2030,36553,73.0
Neche,2031,31768,72.0
Neche,2032,26983,71.0
Neche,2033,22197,71.0
Neche,2034,17412,72.0
Neche,2035,12627,77.0
Nighthawk,2026,10309,95.0
Nighthawk,2027,9702,92.0
Nighthawk,2028,9095,94.0
Nighthawk,2029,8488,90.0
Nighthawk,2030,7881,89.0
Nighthawk,2031,7274,89.0
Nighthawk,2032,6667,87.0
Nighthawk,2033,6060,85.0
Nighthawk,2034,5453,84.0
Nighthawk,2035,4846,84.0
Nogales,2026,10242737,5.0
Nogales,2027,9878277,5.0
Nogales,2028,9513818,5.0
Nogales,2029,9149359,5.0
Nogales,2030,8784900,6.0
Nogales,2031,8420441,6.0
Nogales,2032,8055982,5.0
Nogales,2033,7691523,6.0
Nogales,2034,7327064,6.0
Nogales,2035,6962604,6.0
Noonan,2026,39726,80.0
Noonan,2027,36878,79.0
Noonan,2028,34030,76.0
Noonan,2029,31182,74.0
Noonan,2030,28334,75.0
Noonan,2031,25487,74.0
Noonan,2032,22639,73.0
Noonan,2033,19791,72.0
Noonan,2034,16943,73.0
Noonan,2035,14095,74.0
Northgate,2026,47646,77.0
Northgate,2027,46335,74.0
Northgate,2028,45025,72.0
Northgate,2029,43715,70.0
Northgate,2030,42405,70.0
Northgate,2031,41094,68.0
Northgate,2032,39784,66.0
Northgate,2033,38474,63.0
Northgate,2034,37164,61.0
Northgate,2035,35854,60.0
Norton,2026,6812,98.0
Norton,2027,-6760,110.0
Norton,2028,-20333,111.0
Norton,2029,-33906,110.0
Norton,2030,-47478,110.0
Norton,2031,-61051,110.0
Norton,2032,-74624,108.0
Norton,2033,-88197,107.0
Norton,2034,-101769,106.0
Norton,2035,-115342,106.0
Noyes,2026,-230574,116.0
Noyes,2027,-246678,116.0
Noyes,2028,-262782,116.0
Noyes,2029,-278887,115.0
Noyes,2030,-294991,115.0
Noyes,2031,-311095,114.0
Noyes,2032,-327199,113.0
Noyes,2033,-343303,112.0
Noyes,2034,-359407,111.0
Noyes,2035,-375511,111.0
Ogdensburg,2026,589911,44.0
Ogdensburg,2027,570314,43.0
Ogdensburg,2028,550717,41.0
Ogdensburg,2029,531120,41.0
Ogdensburg,2030,511523,41.0
Ogdensburg,2031,491925,40.0
Ogdensburg,2032,472328,40.0
Ogdensburg,2033,452731,39.0
Ogdensburg,2034,433134,39.0
Ogdensburg,2035,413537,39.0
Opheim,2026,2666,107.0
Opheim,2027,2088,104.0
Opheim,2028,1510,101.0
Opheim,2029,932,96.0
Opheim,2030,354,95.0
Opheim,2031,-222,94.0
Opheim,2032,-800,92.0
Opheim,2033,-1378,90.0
Opheim,2034,-1956,90.0
Opheim,2035,-2534,89.0
Oroville,2026,360124,49.0
Oroville,2027,335888,49.0
Oroville,2028,311653,50.0
Oroville,2029,287417,50.0
Oroville,2030,263182,48.0
Oroville,2031,238947,47.0
Oroville,2032,214711,46.0
Oroville,2033,190476,46.0
Oroville,2034,166240,45.0
Oroville,2035,142005,45.0
Otay Mesa,2026,20652156,2.0
Otay Mesa,2027,20769736,2.0
Otay Mesa,2028,20887315,2.0
Otay Mesa,2029,21004895,2.0
Otay Mesa,2030,21122474,2.0
Otay Mesa,2031,21240054,2.0
Otay Mesa,2032,21357633,2.0
Otay Mesa,2033,21475213,2.0
Otay Mesa,2034,21592792,2.0
Otay Mesa,2035,21710372,2.0
Pembina,2026,1261193,32.0
Pembina,2027,1254583,29.0
Pembina,2028,1247973,28.0
Pembina,2029,1241363,27.0
Pembina,2030,1234752,27.0
Pembina,2031,1228142,25.0
Pembina,2032,1221532,25.0
Pembina,2033,1214922,25.0
Pembina,2034,1208311,24.0
Pembina,2035,1201701,24.0
Piegan,2026,158657,56.0
Piegan,2027,144407,56.0
Piegan,2028,130158,55.0
Piegan,2029,115908,57.0
Piegan,2030,101658,58.0
Piegan,2031,87409,58.0
Piegan,2032,73159,56.0
Piegan,2033,58909,58.0
Piegan,2034,44660,59.0
Piegan,2035,30410,65.0
Pinecreek,2026,3369,105.0
Pinecreek,2027,2600,103.0
Pinecreek,2028,1832,100.0
Pinecreek,2029,1063,95.0
Pinecreek,2030,294,96.0
Pinecreek,2031,-473,95.0
Pinecreek,2032,-1242,93.0
Pinecreek,2033,-2010,92.0
Pinecreek,2034,-2779,92.0
Pinecreek,2035,-3548,91.0
Point Roberts,2026,1319030,28.0
Point Roberts,2027,1262342,28.0
Point Roberts,2028,1205654,29.0
Point Roberts,2029,1148967,31.0
Point Roberts,2030,1092279,31.0
Point Roberts,2031,1035591,30.0
Point Roberts,2032,978904,30.0
Point Roberts,2033,922216,30.0
Point Roberts,2034,865528,30.0
Point Roberts,2035,808841,32.0
Port Angeles,2026,92518,65.0
Port Angeles,2027,87475,64.0
Port Angeles,2028,82432,63.0
Port Angeles,2029,77390,62.0
Port Angeles,2030,72347,62.0
Port Angeles,2031,67305,62.0
Port Angeles,2032,62262,59.0
Port Angeles,2033,57220,59.0
Port Angeles,2034,52177,58.0
Port Angeles,2035,47134,56.0
Port Huron,2026,3812857,17.0
Port Huron,2027,3596904,17.0
Port Huron,2028,3380951,16.0
Port Huron,2029,3164998,16.0
Port Huron,2030,2949045,16.0
Port Huron,2031,2733092,17.0
Port Huron,2032,2517139,17.0
Port Huron,2033,2301187,18.0
Port Huron,2034,2085234,17.0
Port Huron,2035,1869281,18.0
Portal,2026,642178,42.0
Portal,2027,642745,41.0
Portal,2028,643311,38.0
Portal,2029,643877,38.0
Portal,2030,644444,37.0
Portal,2031,645010,36.0
Portal,2032,645576,36.0
Portal,2033,646143,34.0
Portal,2034,646709,33.0
Portal,2035,647275,33.0
Porthill,2026,203958,54.0
Porthill,2027,195044,53.0
Porthill,2028,186129,52.0
Porthill,2029,177214,52.0
Porthill,2030,168299,52.0
Porthill,2031,159384,49.0
Porthill,2032,150470,48.0
Porthill,2033,141555,48.0
Porthill,2034,132640,47.0
Porthill,2035,123725,48.0
Portland,2026,-29064,115.0
Portland,2027,-32958,113.0
Portland,2028,-36852,113.0
Portland,2029,-40746,112.0
Portland,2030,-44640,109.0
Portland,2031,-48534,108.0
Portland,2032,-52428,105.0
Portland,2033,-56322,104.0
Portland,2034,-60216,103.0
Portland,2035,-64110,103.0
Presidio,2026,1813243,24.0
Presidio,2027,1784827,24.0
Presidio,2028,1756411,24.0
Presidio,2029,1727995,24.0
Presidio,2030,1699579,23.0
Presidio,2031,1671163,23.0
Presidio,2032,1642747,23.0
Presidio,2033,1614331,23.0
Presidio,2034,1585915,23.0
Presidio,2035,1557499,20.0
Progreso,2026,3962004,16.0
Progreso,2027,3919567,16.0
Progreso,2028,3877130,15.0
Progreso,2029,3834693,15.0
Progreso,2030,3792257,15.0
Progreso,2031,3749820,15.0
Progreso,2032,3707383,14.0
Progreso,2033,3664946,13.0
Progreso,2034,3622509,12.0
Progreso,2035,3580072,11.0
Raymond,2026,66030,71.0
Raymond,2027,62882,68.0
Raymond,2028,59734,66.0
Raymond,2029,56586,65.0
Raymond,2030,53439,65.0
Raymond,2031,50291,64.0
Raymond,2032,47143,61.0
Raymond,2033,43996,60.0
Raymond,2034,40848,60.0
Raymond,2035,37700,59.0
Richford,2026,148039,58.0
Richford,2027,136392,57.0
Richford,2028,124746,57.0
Richford,2029,113099,58.0
Richford,2030,101452,59.0
Richford,2031,89806,57.0
Richford,2032,78159,55.0
Richford,2033,66512,55.0
Richford,2034,54865,57.0
Richford,2035,43219,58.0
Rio Grande City,2026,604376,43.0
Rio Grande City,2027,510898,44.0
Rio Grande City,2028,417419,44.0
Rio Grande City,2029,323941,45.0
Rio Grande City,2030,230463,49.0
Rio Grande City,2031,136985,51.0
Rio Grande City,2032,43506,63.0
Rio Grande City,2033,-49971,103.0
Rio Grande City,2034,-143449,108.0
Rio Grande City,2035,-236927,108.0
Roma,2026,864556,37.0
Roma,2027,694487,38.0
Roma,2028,524418,43.0
Roma,2029,354348,43.0
Roma,2030,184279,50.0
Roma,2031,14210,83.0
Roma,2032,-155859,110.0
Roma,2033,-325928,111.0
Roma,2034,-495997,113.0
Roma,2035,-666066,113.0
Roosville,2026,347438,50.0
Roosville,2027,344146,47.0
Roosville,2028,340853,46.0
Roosville,2029,337560,44.0
Roosville,2030,334267,43.0
Roosville,2031,330975,43.0
Roosville,2032,327682,41.0
Roosville,2033,324389,41.0
Roosville,2034,321096,41.0
Roosville,2035,317803,40.0
Roseau,2026,63340,72.0
Roseau,2027,59835,69.0
Roseau,2028,56331,68.0
Roseau,2029,52826,67.0
Roseau,2030,49322,66.0
Roseau,2031,45817,65.0
Roseau,2032,42313,64.0
Roseau,2033,38808,62.0
Roseau,2034,35304,63.0
Roseau,2035,31799,64.0
San Luis,2026,8633306,10.0
San Luis,2027,8501043,8.0
San Luis,2028,8368779,8.0
San Luis,2029,8236516,7.0
San Luis,2030,8104253,7.0
San Luis,2031,7971989,7.0
San Luis,2032,7839726,6.0
San Luis,2033,7707462,5.0
San Luis,2034,7575199,5.0
San Luis,2035,7442935,5.0
San Ysidro,2026,39224751,1.0
San Ysidro,2027,38749703,1.0
San Ysidro,2028,38274655,1.0
San Ysidro,2029,37799607,1.0
San Ysidro,2030,37324559,1.0
San Ysidro,2031,36849510,1.0
San Ysidro,2032,36374462,1.0
San Ysidro,2033,35899414,1.0
San Ysidro,2034,35424366,1.0
San Ysidro,2035,34949318,1.0
Santa Teresa,2026,2538257,22.0
Santa Teresa,2027,2606231,21.0
Santa Teresa,2028,2674205,19.0
Santa Teresa,2029,2742180,18.0
Santa Teresa,2030,2810154,17.0
Santa Teresa,2031,2878128,16.0
Santa Teresa,2032,2946102,16.0
Santa Teresa,2033,3014076,14.0
Santa Teresa,2034,3082050,14.0
Santa Teresa,2035,3150024,12.0
Sarles,2026,4031,104.0
Sarles,2027,3256,102.0
Sarles,2028,2481,98.0
Sarles,2029,1706,93.0
Sarles,2030,931,93.0
Sarles,2031,155,93.0
Sarles,2032,-619,91.0
Sarles,2033,-1394,91.0
Sarles,2034,-2169,91.0
Sarles,2035,-2944,90.0
Sasabe,2026,37076,81.0
Sasabe,2027,33646,80.0
Sasabe,2028,30216,78.0
Sasabe,2029,26786,77.0
Sasabe,2030,23356,76.0
Sasabe,2031,19926,76.0
Sasabe,2032,16496,78.0
Sasabe,2033,13066,79.0
Sasabe,2034,9636,79.0
Sasabe,2035,6206,82.0
Sault Sainte Marie,2026,139505,60.0
Sault Sainte Marie,2027,-41451,114.0
Sault Sainte Marie,2028,-222409,115.0
Sault Sainte Marie,2029,-403366,116.0
Sault Sainte Marie,2030,-584323,116.0
Sault Sainte Marie,2031,-765281,116.0
Sault Sainte Marie,2032,-946238,116.0
Sault Sainte Marie,2033,-1127195,115.0
Sault Sainte Marie,2034,-1308153,115.0
Sault Sainte Marie,2035,-1489110,115.0
Scobey,2026,10722,94.0
Scobey,2027,10331,91.0
Scobey,2028,9940,90.0
Scobey,2029,9550,86.0
Scobey,2030,9159,86.0
Scobey,2031,8768,85.0
Scobey,2032,8377,84.0
Scobey,2033,7987,82.0
Scobey,2034,7596,82.0
Scobey,2035,7205,81.0
Sherwood,2026,42307,79.0
Sherwood,2027,41556,78.0
Sherwood,2028,40806,74.0
Sherwood,2029,40056,73.0
Sherwood,2030,39306,71.0
Sherwood,2031,38556,70.0
Sherwood,2032,37806,68.0
Sherwood,2033,37056,66.0
Sherwood,2034,36306,62.0
Sherwood,2035,35556,61.0
Skagway,2026,313622,51.0
Skagway,2027,312975,50.0
Skagway,2028,312328,49.0
Skagway,2029,311681,48.0
Skagway,2030,311034,44.0
Skagway,2031,310387,44.0
Skagway,2032,309740,42.0
Skagway,2033,309093,42.0
Skagway,2034,308446,42.0
Skagway,2035,307799,41.0
St John,2026,6522,99.0
St John,2027,3340,101.0
St John,2028,158,104.0
St John,2029,-3023,102.0
St John,2030,-6205,102.0
St John,2031,-9387,102.0
St John,2032,-12569,101.0
St John,2033,-15751,99.0
St John,2034,-18933,99.0
St John,2035,-22115,99.0
Sumas,2026,1546630,25.0
Sumas,2027,1479657,25.0
Sumas,2028,1412684,25.0
Sumas,2029,1345712,25.0
Sumas,2030,1278739,26.0
Sumas,2031,1211766,26.0
Sumas,2032,1144793,26.0
Sumas,2033,1077820,27.0
Sumas,2034,1010848,27.0
Sumas,2035,943875,28.0
Sweetgrass,2026,667159,40.0
Sweetgrass,2027,644768,40.0
Sweetgrass,2028,622378,40.0
Sweetgrass,2029,599987,40.0
Sweetgrass,2030,577597,40.0
Sweetgrass,2031,555206,38.0
Sweetgrass,2032,532815,37.0
Sweetgrass,2033,510425,37.0
Sweetgrass,2034,488034,37.0
Sweetgrass,2035,465644,35.0
Tecate,2026,2660469,21.0
Tecate,2027,2600204,22.0
Tecate,2028,2539940,22.0
Tecate,2029,2479675,19.0
Tecate,2030,2419411,19.0
Tecate,2031,2359146,19.0
Tecate,2032,2298882,20.0
Tecate,2033,2238618,19.0
Tecate,2034,2178353,16.0
Tecate,2035,2118089,16.0
Tornillo,2026,657328,41.0
Tornillo,2027,594977,42.0
Tornillo,2028,532625,42.0
Tornillo,2029,470274,42.0
Tornillo,2030,407922,42.0
Tornillo,2031,345571,42.0
Tornillo,2032,283219,43.0
Tornillo,2033,220868,44.0
Tornillo,2034,158516,46.0
Tornillo,2035,96165,51.0
Trout River,2026,243226,52.0
Trout River,2027,225482,52.0
Trout River,2028,207738,51.0
Trout River,2029,189994,51.0
Trout River,2030,172250,51.0
Trout River,2031,154506,50.0
Trout River,2032,136762,49.0
Trout River,2033,119018,52.0
Trout River,2034,101274,53.0
Trout River,2035,83530,52.0
Turner,2026,18762,90.0
Turner,2027,18528,88.0
Turner,2028,18293,85.0
Turner,2029,18059,82.0
Turner,2030,17824,81.0
Turner,2031,17589,79.0
Turner,2032,17355,76.0
Turner,2033,17120,75.0
Turner,2034,16886,74.0
Turner,2035,16651,71.0
Van Buren,2026,91919,66.0
Van Buren,2027,54177,71.0
Van Buren,2028,16435,86.0
Van Buren,2029,-21306,108.0
Van Buren,2030,-59048,111.0
Van Buren,2031,-96790,111.0
Van Buren,2032,-134532,109.0
Van Buren,2033,-172274,109.0
Van Buren,2034,-210016,109.0
Van Buren,2035,-247759,109.0
Vanceboro,2026,48233,76.0
Vanceboro,2027,41986,77.0
Vanceboro,2028,35739,75.0
Vanceboro,2029,29492,76.0
Vanceboro,2030,23245,77.0
Vanceboro,2031,16998,80.0
Vanceboro,2032,10751,82.0
Vanceboro,2033,4504,87.0
Vanceboro,2034,-1742,89.0
Vanceboro,2035,-7989,94.0
Walhalla,2026,81199,67.0
Walhalla,2027,78910,66.0
Walhalla,2028,76622,65.0
Walhalla,2029,74333,63.0
Walhalla,2030,72044,63.0
Walhalla,2031,69756,61.0
Walhalla,2032,67467,58.0
Walhalla,2033,65179,56.0
Walhalla,2034,62890,55.0
Walhalla,2035,60602,54.0
Warroad,2026,142520,59.0
Warroad,2027,128175,58.0
Warroad,2028,113829,60.0
Warroad,2029,99483,59.0
Warroad,2030,85138,60.0
Warroad,2031,70792,60.0
Warroad,2032,56446,60.0
Warroad,2033,42101,61.0
Warroad,2034,27755,69.0
Warroad,2035,13409,76.0
Westhope,2026,21615,87.0
Westhope,2027,20520,86.0
Westhope,2028,19425,83.0
Westhope,2029,18331,81.0
Westhope,2030,17236,82.0
Westhope,2031,16141,82.0
Westhope,2032,15046,80.0
Westhope,2033,13952,78.0
Westhope,2034,12857,78.0
Westhope,2035,11762,78.0
Whitetail,2026,-17064,114.0
Whitetail,2027,-18272,112.0
Whitetail,2028,-19479,110.0
Whitetail,2029,-20687,107.0
Whitetail,2030,-21894,105.0
Whitetail,2031,-23101,104.0
Whitetail,2032,-24309,102.0
Whitetail,2033,-25516,101.0
Whitetail,2034,-26724,101.0
Whitetail,2035,-27931,100.0
Whitlash,2026,1039,109.0
Whitlash,2027,945,107.0
Whitlash,2028,851,102.0
Whitlash,2029,757,97.0
Whitlash,2030,664,94.0
Whitlash,2031,570,92.0
Whitlash,2032,476,90.0
Whitlash,2033,382,89.0
Whitlash,2034,288,88.0
Whitlash,2035,195,88.0
Wildhorse,2026,27713,84.0
Wildhorse,2027,26576,82.0
Wildhorse,2028,25439,79.0
Wildhorse,2029,24302,78.0
Wildhorse,2030,23165,78.0
Wildhorse,2031,22028,75.0
Wildhorse,2032,20891,74.0
Wildhorse,2033,19754,73.0
Wildhorse,2034,18617,71.0
Wildhorse,2035,17480,70.0
Willow Creek,2026,6367,100.0
Willow Creek,2027,6144,96.0
Willow Creek,2028,5921,95.0
Willow Creek,2029,5699,91.0
Willow Creek,2030,5476,90.0
Willow Creek,2031,5254,90.0
Willow Creek,2032,5031,88.0
Willow Creek,2033,4809,86.0
Willow Creek,2034,4586,86.0
Willow Creek,2035,4363,85.0
Ysleta,2026,7987795,13.0
Ysleta,2027,7794752,12.0
Ysleta,2028,7601708,10.0
Ysleta,2029,7408665,10.0
Ysleta,2030,7215622,10.0
Ysleta,2031,7022578,9.0
Ysleta,2032,6829535,9.0
Ysleta,2033,6636491,8.0
Ysleta,2034,6443448,8.0
Ysleta,2035,6250405,8.0
